vehiculo,gama,lat_actual,lon_actual,electrolinera,lat_electrolinera,lon_electrolinera,distancia_metros,bateria_al_recargar,nodos_recorridos
BYD SEAL 82.5 kWh RWD Design,alta,7.0536914,-73.0822544,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,7370.62,0.1998,5744789
BYD SEAL 82.5 kWh RWD Design,alta,7.1140871,-73.1056751,Centro Comercial Quinta Etapa,7.115473864260488,-73.10771498564486,1068.66,0.1989,5747444
BYD SEAL 82.5 kWh RWD Design,alta,7.0076213,-73.0560616,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,1140.37,0.1996,5750075
BYD SEAL 82.5 kWh RWD Design,alta,7.0401441,-73.0757255,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,5614.54,0.1984,5752698
BYD SEAL 82.5 kWh RWD Design,alta,7.0606369,-73.091317,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,5638.61,0.1989,5755688
BYD SEAL 82.5 kWh RWD Design,alta,6.9886962,-73.0428275,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,2836.5,0.2,5758432
BYD SEAL 82.5 kWh RWD Design,alta,7.0477123,-73.0791249,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,6576.81,0.1994,5761049
BYD SEAL 82.5 kWh RWD Design,alta,7.119814,-73.1159275,Homecenter,7.115794947043329,-73.12049190407198,688.33,0.1999,5763959
BYD SEAL 82.5 kWh RWD Design,alta,7.0677064,-73.1012659,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2285.49,0.1991,5766609
BYD SEAL 82.5 kWh RWD Design,alta,7.0713617,-73.1058709,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,43.93,0.1998,5769301
BYD SEAL 82.5 kWh RWD Design,alta,7.0606369,-73.091317,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,5638.61,0.1993,5772041
BYD SEAL 82.5 kWh RWD Design,alta,7.0404178,-73.0754359,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,5649.54,0.1998,5774704
BYD SEAL 82.5 kWh RWD Design,alta,7.1001676,-73.1114479,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,1227.53,0.199,5777616
BYD SEAL 82.5 kWh RWD Design,alta,7.0713617,-73.1058709,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,43.93,0.1996,5780330
BYD SEAL 82.5 kWh RWD Design,alta,6.998593,-73.0622837,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,1721.69,0.1994,5782972
BYD SEAL 82.5 kWh RWD Design,alta,7.0886252,-73.1085314,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2072.11,0.1999,5785883
BYD SEAL 82.5 kWh RWD Design,alta,7.0735339,-73.1079145,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,376.78,0.1995,5788760
BYD SEAL 82.5 kWh RWD Design,alta,7.0667561,-73.0999129,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2102.57,0.1999,5791541
BYD SEAL 82.5 kWh RWD Design,alta,7.1345955,-73.1202519,Homecenter,7.115794947043329,-73.12049190407198,2419.14,0.1998,5794347
BYD SEAL 82.5 kWh RWD Design,alta,7.1084435,-73.1194624,Éxito de la Rosita,7.113534997127967,-73.12309979445544,986.81,0.2,5797117
BYD SEAL 82.5 kWh RWD Design,alta,7.0866035,-73.1223573,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,3728.18,0.1999,5799839
BYD SEAL 82.5 kWh RWD Design,alta,7.1160928,-73.1189416,Homecenter,7.115794947043329,-73.12049190407198,228.95,0.2,5802466
BYD SEAL 82.5 kWh RWD Design,alta,7.0493305,-73.0802989,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,4448.15,0.1996,5805260
BYD SEAL 82.5 kWh RWD Design,alta,7.1070398,-73.1218489,Éxito de la Rosita,7.113534997127967,-73.12309979445544,1188.83,0.1999,5807920
BYD SEAL 82.5 kWh RWD Design,alta,7.0664974,-73.0995511,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2229.37,0.2,5811047
BYD SEAL 82.5 kWh RWD Design,alta,7.1097591,-73.1061942,Centro Comercial Quinta Etapa,7.115473864260488,-73.10771498564486,1322.32,0.1997,5813677
BYD SEAL 82.5 kWh RWD Design,alta,7.0881202,-73.1083597,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2012.84,0.1999,5816519
BYD SEAL 82.5 kWh RWD Design,alta,7.0552929,-73.0826591,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,7555.47,0.1988,5819307
BYD SEAL 82.5 kWh RWD Design,alta,7.0595108,-73.0896486,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2736.88,0.1993,5822017
BYD SEAL 82.5 kWh RWD Design,alta,7.0253006,-73.064528,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,4792.62,0.199,5824691
BYD SEAL 82.5 kWh RWD Design,alta,7.0649512,-73.0968837,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,1905.65,0.1996,5827356
BYD SEAL 82.5 kWh RWD Design,alta,7.103382,-73.1106076,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,847.74,0.2,5830069
BYD SEAL 82.5 kWh RWD Design,alta,7.0871525,-73.1181643,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,3310.69,0.1998,5832776
BYD SEAL 82.5 kWh RWD Design,alta,7.0145052,-73.057028,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,1942.7,0.1999,5835586
BYD SEAL 82.5 kWh RWD Design,alta,7.1310541,-73.1127984,Centro Comercial Quinta Etapa,7.115473864260488,-73.10771498564486,2078.95,0.1999,5838245
BYD SEAL 82.5 kWh RWD Design,alta,7.0288026,-73.0688204,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,4050.49,0.1983,5840851
BYD SEAL 82.5 kWh RWD Design,alta,7.0493305,-73.0802989,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,4448.15,0.1984,5843649
BYD SEAL 82.5 kWh RWD Design,alta,7.0870184,-73.1081185,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,1887.0,0.1999,5846405
BYD SEAL 82.5 kWh RWD Design,alta,7.014689,-73.0565963,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,2211.08,0.1998,5849026
BYD SEAL 82.5 kWh RWD Design,alta,7.0690571,-73.1288731,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,5434.99,0.1993,5851834
BYD SEAL 82.5 kWh RWD Design,alta,7.1272937,-73.119114,Homecenter,7.115794947043329,-73.12049190407198,2086.2,0.1996,5854451
BYD SEAL 82.5 kWh RWD Design,alta,7.1206469,-73.1209715,Homecenter,7.115794947043329,-73.12049190407198,631.0,0.1999,5857119
BYD SEAL 82.5 kWh RWD Design,alta,7.0877803,-73.1358373,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,4338.54,0.1982,5859807
BYD SEAL 82.5 kWh RWD Design,alta,6.9875978,-73.0420413,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,2991.44,0.1997,5862493
BYD SEAL 82.5 kWh RWD Design,alta,7.0845043,-73.1581865,Promotores del Oriente (vía a Girón),7.085743648912543,-73.16471385719439,786.83,0.1998,5865199
BYD SEAL 82.5 kWh RWD Design,alta,7.0836631,-73.1482411,Promotores del Oriente (vía a Girón),7.085743648912543,-73.16471385719439,2070.61,0.1994,5867914
BYD SEAL 82.5 kWh RWD Design,alta,7.0968787,-73.1109613,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,2483.31,0.1994,5870612
BYD SEAL 82.5 kWh RWD Design,alta,7.0890285,-73.1325449,Promotores del Oriente (vía a Girón),7.085743648912543,-73.16471385719439,3854.38,0.1999,5873456
